Class,Property,Property value type,Doc (short),units,remarks,is_settable,is_single_settable,is_single_numeric,Doc (long)
BallastSystem,target_elevation,float,The target elevation of the parent of the ballast system ,[m],,True,True,True,The target elevation of the parent of the ballast system [m]
BallastSystem,cogx,float,X position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,X position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cogy,float,Y position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,Y position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cogz,float,Z position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,Z position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cog,tuple,Combined CoG of all tank contents in the ballast-system.  ,"[m,m,m]",global coordinate,False,False,False,"Combined CoG of all tank contents in the ballast-system. (global coordinate) [m,m,m]"
BallastSystem,weight,float,Total weight of all tank fillings in the ballast system ,[kN],,False,False,True,Total weight of all tank fillings in the ballast system [kN]
Beam,n_segments,int,Number of segments used in beam ,[-],,True,True,True,Number of segments used in beam [-]
Beam,EIy,float,E * Iyy : bending stiffness in the XZ plane ,[kN m2],,True,True,True,"E * Iyy : bending stiffness in the XZ plane [kN m2]

        E is the modulus of elasticity; for steel 190-210 GPa (10^6 kN/m2)
        Iyy is the cross section moment of inertia [m4]
        "
Beam,EIz,float,E * Izz : bending stiffness in the XY plane ,[kN m2],,True,True,True,"E * Izz : bending stiffness in the XY plane [kN m2]

        E is the modulus of elasticity; for steel 190-210 GPa (10^6 kN/m2)
        Iyy is the cross section moment of inertia [m4]
        "
Beam,GIp,float,G * Ipp : torsional stiffness about the X (length) axis ,[kN m2],,True,True,True,"G * Ipp : torsional stiffness about the X (length) axis [kN m2]

        G is the shear-modulus of elasticity; for steel 75-80 GPa (10^6 kN/m2)
        Ip is the cross section polar moment of inertia [m4]
        "
Beam,EA,float,E * A : stiffness in the length direction ,[kN],,True,True,True,"E * A : stiffness in the length direction [kN]

        E is the modulus of elasticity; for steel 190-210 GPa (10^6 kN/m2)
        A is the cross-section area in [m2]
        "
Beam,tension_only,bool,axial stiffness (EA) only applicable to tension ,[True/False],,True,True,False,axial stiffness (EA) only applicable to tension [True/False]
Beam,mass,float,Mass of the beam in ,[mT],,True,True,True,Mass of the beam in [mT]
Beam,L,float,Length of the beam in unloaded condition ,[m],,True,True,True,Length of the beam in unloaded condition [m]
Beam,nodeA,Frame,The axis system that the A-end of the beam is connected to. The beam leaves this axis system along the X-axis ,[Frame],,True,True,False,The axis system that the A-end of the beam is connected to. The beam leaves this axis system along the X-axis [Frame]
Beam,nodeB,Frame,The axis system that the B-end of the beam is connected to. The beam arrives at this axis system along the X-axis ,[Frame],,True,True,False,The axis system that the B-end of the beam is connected to. The beam arrives at this axis system along the X-axis [Frame]
Beam,moment_A,tuple,Moment on beam at node A  ,"[kNm, kNm, kNm]",axis system of node A,False,False,False,"Moment on beam at node A [kNm, kNm, kNm] (axis system of node A)"
Beam,moment_B,tuple,Moment on beam at node B  ,"[kNm, kNm, kNm]",axis system of node B,False,False,False,"Moment on beam at node B [kNm, kNm, kNm] (axis system of node B)"
Beam,tension,float,"Tension in the beam , negative for compression",[kN],,False,False,True,"Tension in the beam [kN], negative for compression

        tension is calculated at the midpoints of the beam segments.
        "
Beam,torsion,float,Torsion moment . Positive if end B has a positive rotation about the x-axis of end A,[kNm],,False,False,True,"Torsion moment [kNm]. Positive if end B has a positive rotation about the x-axis of end A

        torsion is calculated at the midpoints of the beam segments.
        "
Beam,X_nodes,tuple,Returns the x-positions of the end nodes and internal nodes along the length of the beam ,[m],,False,False,False,Returns the x-positions of the end nodes and internal nodes along the length of the beam [m]
Beam,X_midpoints,tuple,X-positions of the beam centers measured along the length of the beam ,[m],,False,False,False,X-positions of the beam centers measured along the length of the beam [m]
Beam,global_positions,tuple,Global-positions of the end nodes and internal nodes ,"[m,m,m]",,False,False,False,"Global-positions of the end nodes and internal nodes [m,m,m]"
Beam,global_orientations,tuple,Global-orientations of the end nodes and internal nodes ,"[deg,deg,deg]",,False,False,False,"Global-orientations of the end nodes and internal nodes [deg,deg,deg]"
