Name,Description,WLL,weight,pin diameter,bow diameter,inside length,bow inside diameter,visual,visual scale,,,
GP120,P-6036 GP heavy duty bow shackle 120t,120,110,95,95,400,238,res: shackle_gp800.obj,0.530546624,,,
GP150,P-6036 GP heavy duty bow shackle 150t,150,160,108,105,410,275,res: shackle_gp800.obj,0.553590568,,,
GP200,P-6036 GP heavy duty bow shackle 200t,200,235,130,120,513,290,res: shackle_gp800.obj,0.683815648,,,
GP250,P-6036 GP heavy duty bow shackle 250t,250,295,140,130,554,305,res: shackle_gp800.obj,0.738478028,,,
GP300,P-6036 GP heavy duty bow shackle 300t,300,368,150,140,618,305,res: shackle_gp800.obj,0.817792069,,,
GP400,P-6036 GP heavy duty bow shackle 400t,400,560,175,170,668,325,res: shackle_gp800.obj,0.900857449,,,
GP500,P-6036 GP heavy duty bow shackle 500t,500,685,185,180,718,350,res: shackle_gp800.obj,0.965166131,,,
GP600,P-6036 GP heavy duty bow shackle 600t,600,880,205,200,718,375,res: shackle_gp800.obj,0.986602358,,,
GP700,P-6036 GP heavy duty bow shackle 700t,700,980,215,210,718,400,res: shackle_gp800.obj,0.997320472,,,
GP800,P-6036 GP heavy duty bow shackle 800t,800,1100,220,210,718,400,res: shackle_gp800.obj,1,,,
GP900,P-6036 GP heavy duty bow shackle 900t,900,1280,230,220,718,420,res: shackle_gp800.obj,1.010718114,,,
GP1000,P-6036 GP heavy duty bow shackle 1000t,1000,1460,240,240,718,420,res: shackle_gp800.obj,1.026795284,,,
GP1250,P-6036 GP heavy duty bow shackle 1250t,1250,1990,270,260,768,450,res: shackle_gp800.obj,1.107181136,,,
GP1500,P-6036 GP heavy duty bow shackle 1500t,1500,2400,290,280,818,450,res: shackle_gp800.obj,1.182207931,,,
WB007,P-6033 GP Sling Shackle 7t,7,2,22,41,96,64,res: GPWB_generic.obj,0.108418367,,,
WB0125,P-6033 GP Sling Shackle 12.5t,12.5,4,28,54,121,82,res: GPWB_generic.obj,0.137755102,,,
WB018,P-6033 GP Sling Shackle 18t,18,8,35,64,148,102,res: GPWB_generic.obj,0.167942177,,,
WB030,P-6033 GP Sling Shackle 30t,30,13,42,79,165,126,res: GPWB_generic.obj,0.191751701,,,
WB040,P-6033 GP Sling Shackle 40t,40,21,51,97,199,140,res: GPWB_generic.obj,0.232142857,,,
WB055,P-6033 GP Sling Shackle 55t,55,30,57,100,240,160,res: GPWB_generic.obj,0.270833333,,,
WB075,P-6033 GP Sling Shackle 75t,75,48,70,120,290,185,res: GPWB_generic.obj,0.327380952,,,
WB125,P-6033 GP Sling Shackle 125t,125,92,80,150,366,220,res: GPWB_generic.obj,0.409013605,,,
WB150,P-6033 GP Sling Shackle 150t,150,140,95,170,391,253,res: GPWB_generic.obj,0.445153061,,,
WB200,P-6033 GP Sling Shackle 200t,200,205,105,205,481,280,res: GPWB_generic.obj,0.540816327,,,
WB250,P-6033 GP Sling Shackle 250t,250,264,120,240,542,300,res: GPWB_generic.obj,0.613945578,,,
WB300,P-6033 GP Sling Shackle 300t,300,360,134,265,601,350,res: GPWB_generic.obj,0.680697279,,,
WB400,P-6033 GP Sling Shackle 400t,400,583,160,320,576,370,res: GPWB_generic.obj,0.693877551,,,
WB500,P-6033 GP Sling Shackle 500t,500,862,180,340,681,450,res: GPWB_generic.obj,0.800170068,,,
WB600,P-6033 GP Sling Shackle 600t,600,1134,200,370,741,490,res: GPWB_generic.obj,0.87244898,,,
WB700,P-6033 GP Sling Shackle 700t,700,1360,215,400,751,540,res: GPWB_generic.obj,0.900085034,,,
WB800,P-6033 GP Sling Shackle 800t,800,1430,230,420,851,554,res: GPWB_generic.obj,1,,,
WB900,P-6033 GP Sling Shackle 900t,900,1650,255,440,851,580,res: GPWB_generic.obj,1.019132653,,,
WB1000,P-6033 GP Sling Shackle 1000t,1000,2970,270,460,851,614,res: GPWB_generic.obj,1.034013605,,,
WB1250,P-6033 GP Sling Shackle 1250t,1250,3700,300,530,931,650,res: GPWB_generic.obj,1.144557823,,,
WB1550,P-6033 GP Sling Shackle 1550t,1550,4000,320,560,950,680,res: GPWB_generic.obj,1.181972789,,,
